,True_index,predictions
0,19,4036.030517578125
1,31,6202.1767578125
2,45,3413.891845703125
3,56,3581.031982421875
4,57,5144.89990234375
5,61,4965.3984375
6,63,7478.36865234375
7,79,5091.8203125
8,81,10451.30859375
9,84,3554.097900390625
10,86,6420.837890625
11,90,5012.330078125
12,96,5613.46435546875
13,108,6173.240234375
14,124,14377.19921875
15,126,6169.96875
16,133,6153.1435546875
17,146,5606.00390625
18,160,8408.83984375
19,164,7060.41455078125
20,167,10841.5859375
21,194,7036.759765625
22,206,12316.84375
23,217,8954.705078125
24,220,9029.560546875
25,221,7243.10791015625
26,225,6488.3564453125
27,226,3911.429443359375
28,232,8039.640625
29,250,4951.2978515625
30,264,6000.982421875
31,269,7068.76513671875
32,271,6592.6044921875
33,280,8345.6875
34,284,3735.21923828125
35,302,7571.47412109375
36,323,5622.83251953125
37,336,4795.79931640625
38,351,4221.13232421875
39,377,6049.6142578125
40,382,4290.5205078125
41,388,8270.34375
42,408,6323.72314453125
43,427,6594.79736328125
44,508,5023.0634765625
45,513,10152.4296875
46,516,6312.56201171875
47,530,4714.6044921875
48,558,3334.145263671875
49,576,14351.6982421875
50,588,7612.88232421875
51,595,6106.69775390625
52,600,5123.982421875
53,601,8624.0712890625
54,609,5023.69384765625
55,612,5236.732421875
56,615,7302.22412109375
57,625,5457.9951171875
58,645,5322.72705078125
59,666,5878.24267578125
60,668,6122.49951171875
61,672,10118.623046875
62,699,16438.552734375
63,717,5674.71728515625
64,737,5261.72412109375
65,744,7612.1025390625
66,747,15179.9091796875
67,764,7670.19482421875
68,775,6728.31689453125
69,795,8874.96484375
70,802,9214.3818359375
71,811,8400.490234375
72,840,9203.1181640625
73,849,12951.7705078125
74,859,7237.08544921875
75,872,12747.9931640625
76,881,4251.998046875
77,883,7102.78466796875
78,890,5623.837890625
79,896,6562.8564453125
80,905,8941.79296875
81,921,9018.576171875
82,967,9052.9052734375
83,973,5531.62744140625
84,1001,3631.366943359375
85,1021,9803.859375
86,1026,4665.5224609375
87,1030,7216.22705078125
88,1044,5536.6611328125
89,1063,9913.7724609375
90,1067,8633.9228515625
91,1075,8572.5341796875
92,1097,4807.216796875
93,1117,12624.2978515625
94,1122,4723.94580078125
95,1125,8190.28515625
96,1129,5543.30810546875
97,1141,5625.4052734375
98,1151,4597.34765625
99,1159,6696.669921875
100,1173,6793.1728515625
101,1193,6179.7275390625
102,1241,5167.08447265625
103,1250,7449.98583984375
104,1273,6811.8544921875
105,1296,8452.03515625
106,1309,2332.861572265625
107,1332,5160.1025390625
108,1336,6643.33984375
109,1357,5297.3505859375
110,1372,6400.67431640625
111,1374,6063.93310546875
112,1378,9251.3359375
113,1379,4355.5263671875
114,1384,8757.42578125
115,1394,5683.67919921875
116,1398,2775.068603515625
117,1399,4483.3134765625
118,1403,7260.14599609375
119,1409,9876.123046875
120,1424,4226.3642578125
121,1430,6179.65478515625
122,1432,4543.1455078125
123,1448,5745.251953125
124,1451,10536.8154296875
125,1452,7315.26220703125
126,1470,5087.89892578125
127,1481,9826.8056640625
128,1523,2891.06298828125
129,1527,5137.16259765625
130,1546,5286.81298828125
131,1547,12883.1875
132,1567,3642.8037109375
133,1592,8808.205078125
134,1597,11708.8828125
135,1603,9466.2607421875
136,1640,5985.072265625
137,1652,10045.55078125
138,1691,5507.26806640625
139,1704,1711.0018310546875
140,1707,10902.1259765625
141,1718,5841.45458984375
142,1721,5961.7333984375
143,1737,8467.599609375
144,1748,4045.636474609375
145,1776,5568.28662109375
146,1804,6960.01171875
147,1821,8656.466796875
148,1839,4863.88232421875
149,1845,7439.68798828125
150,1853,6190.82275390625
151,1888,4121.380859375
152,1895,5171.900390625
153,1899,6762.91748046875
154,1923,3628.366943359375
155,1934,9074.2421875
156,1937,10140.732421875
157,1940,5341.72314453125
158,1968,3480.462646484375
